,City,Lat,Lng
0,DeTour Village,45.9935112,-83.9019487
1,Vancouver,49.2608724,-123.113952
2,South Elgin,41.9941938,-88.2922996
3,Hometown,41.731246,-87.7309534
4,Jacobus,39.8831558,-76.7105245
5,Wingdale,41.6470383,-73.5681816
6,Milbury,32.9243262,-81.4301071
7,Rootstown,41.0990792,-81.2424901
8,Dyersville,42.4844602,-91.1211058
9,Pequea,39.8881566,-76.367183
10,Lisman,32.1687554,-88.2825251
11,Kawaihae,20.0397244,-155.8291338
12,Lively Grove,38.3064384,-89.6114824
13,White Center,47.5164297,-122.355739
14,Schererville,41.4789246,-87.4547605
15,Placitas,35.3069101,-106.424655
16,Mount Laguna,32.8669744,-116.4188217
17,Kerhonkson,41.7748155,-74.2982059
18,Shavertown,41.3198025,-75.9379761
19,Symsonia,36.9203351,-88.520045
20,New Egypt,40.0654375,-74.52266813721602
21,Palomar Mountain,33.3228128,-116.8786359
22,Swartz Creek,42.9572508,-83.8305144
23,Zelienople,40.7957622,-80.1370795
24,Plainwell,42.4400357,-85.6489035
25,Kingston Springs,36.1020038,-87.1150054
26,Thompson Falls,47.5971287,-115.344309
27,Hollidaysburg,40.430774,-78.3900826
28,Flowood,32.3092861,-90.1386811
29,Newton Falls,41.18839,-80.978147
30,Carol Stream,41.9125286,-88.1347927
31,Cataula,32.655414,-84.8685418
32,Throop,41.4514694,-75.6118548
33,Bruneau,42.8810312,-115.7989401
34,Mount Sinai,40.9470432,-73.0295495
35,Barber,35.7573133,-94.8677286
36,Monaca,40.6872885,-80.2714505
37,Gold Beach,42.4074459,-124.4217418
38,South Barrington,42.088522,-88.14840371084922
39,Rodeo,31.8364383,-109.030309
40,Paige,30.2116519,-97.1132832
41,Cornelia,34.5114883,-83.5271166
42,Box Elder,44.1333654,-103.064514
43,Pretty Prairie,37.7800136,-98.0197792
44,Willisburg,37.8097892,-85.126347
45,Lower Makefield Township,40.2312713,-74.84670236269929
46,Front Royal,38.9178538,-78.1917718
47,Coffman Cove,56.0139933,-132.827889
48,West Bangor,39.7301046,-76.3130139
49,Fredenberg Township,46.982052350000004,-92.23874323340263
50,DeTour Village,45.9935112,-83.9019487
51,Lucedale,30.9251869,-88.5900235
52,Sentinel Butte,46.9183469,-103.8388108
53,Godfrey,38.9556031,-90.1867765
54,Cedarcreek,36.578953,-92.9976756
55,Elkland,37.4430998,-93.031015
56,Mohave Valley,34.9827252,-114.589433
57,Quaker Hill,41.4036987,-72.1061564
58,Longmeadow,42.0504498,-72.5824639
59,Cliffdell,46.9462292,-121.0689708
60,Algonquin,42.1655801,-88.2942493
61,West Greenwich,41.6226185,-71.6657892
62,Blue Island,41.6572753,-87.6801848
63,Village of North Syracuse,43.13479,-76.129924
64,Braidwood,41.2650318,-88.2122823
65,Shinnston,39.3953654,-80.3008402
66,Montgomery Village,39.1729034,-77.2030297
67,Susquehanna Trails,39.7587151,-76.3680159
68,Gerber,40.0562678,-122.150268
69,Sunny View,35.3742845,-82.18789
70,Pe Ell,46.571414,-123.2968442
71,Eads,35.2045325,-89.6492471
72,Village of Sylvan Beach,43.196667,-75.730476
73,Grand Coulee,47.9415408,-119.0033548
74,Rosholt,44.6277509,-89.3087256
75,Mineral Point,42.8601834,-90.179547
76,Dorothy,39.4006712,-74.823778
77,Carrabassett Valley,45.0782419,-70.2114803
78,Reynoldsville,41.0970071,-78.8886436
79,Robins,42.0709929,-91.6668122
80,Duck Key,25.1799431,-80.4892051
81,Elsmere,39.7380793,-75.5959197
82,Soledad,36.428179799999995,-121.32466432032044
83,Valley Springs,38.1915856,-120.8291033
84,Palm Beach Lakes,26.7253421,-80.0705973
85,McQuady,37.70839,-86.5188693
86,Hertford,36.190158,-76.4660519
87,Buffalo Grove,42.1514146,-87.959794
88,McComb,31.2437872,-90.4531536
89,Mize,31.8684927,-89.5559024
90,Scanlon,46.7072662,-92.4272669
91,New York Mills,46.5180469,-95.3763155
92,Hart,43.698341,-86.363965
93,Boomer,36.0673532,-81.2536987
94,Light,36.0700694,-90.7478918
95,Jarrell,30.8249094,-97.604454
96,Passaic,40.8567663,-74.1284764
97,Harpers Ferry,39.323418,-77.7319766
98,Waleska,34.3164826,-84.5521524
99,Dederick,37.8572589,-94.1277216
100,El Segundo,33.917028,-118.4156337
101,Rothsay,46.4739548,-96.2808631
102,Palos Verdes Estates,33.7872386,-118.401813
103,East Parsonsfield,43.7334103,-70.8433957
104,Wickenburg,33.9680962,-112.7301353
105,Pea Ridge,36.4515042,-94.1162147
106,Lake Kiowa,33.5770541,-97.0130633
107,Lexa,34.5971607,-90.7503729
108,Lakehurst,40.014561,-74.3112574
109,Luella,33.352059,-84.1785305
110,Brecksville,41.3197763,-81.6267904
111,Tappan,41.0225273,-73.9486643
112,Earl Park,40.6828155,-87.4116891
113,Lamberton,44.2310677,-95.2641639
114,Summer Lake,42.9727106,-120.778132
115,Mount Dora,28.818746750000003,-81.64585723799206
116,Renville,44.7891264,-95.2116731
117,Millers Falls,42.579154,-72.493414
